31700000 Hervé
126000 Nacio Herb Brown
125000 Robert Erickson
125000 Nicola Porpora
125000 Francis Jackson
125000 Edward Knight
125000 Don Kirshner
124000 Yuji Takahashi
124000 Hans Pfitzner
124000 Germaine Tailleferre
124000 Ernst Theodor Amadeus Hoffmann
124000 Carlos Guastavino
123000 Federico Mompou
122000 Peter Warlock
122000 Nisar Bazmi
122000 John Luther Adams
122000 John Dankworth
122000 Heinrich Albert
122000 Cyril Scott
122000 Carl Stamitz
121000 Hugh Davies
121000 George Dyson
120000 Matteo Carcassi
120000 John Beckwith
120000 Eric Coates
120000 Dieterich Buxtehude
120000 Christopher Rouse
119000 Luc Ferrari
119000 John Pickard
119000 Giovanni Bottesini
118000 Toshiko Akiyoshi
118000 Riccardo Zandonai
118000 Lili Boulanger
118000 John Harbison
118000 Jan Pieterszoon Sweelinck
118000 Ferdinand David
117000 Xavier Montsalvatge
117000 Mohammed Fairouz
117000 Franco Alfano
117000 Benjamin Godard
116000 Luís Tinoco
116000 Klaas de Vries
116000 Francesco Geminiani
116000 Einojuhani Rautavaara
116000 David Cope
116000 Carl Loewe
115000 William Schuman
115000 William Croft
115000 Noel Gay
115000 Jacob Gade
115000 Colin Matthews
115000 Alexandre Guilmant
114000 Paul Tortelier
114000 Isang Yun
114000 Franz Schreker
114000 Francisco Mignone
114000 David Popper
113000 Victor Harris
113000 Joachim Raff
113000 György Kurtág
113000 Charles Koechlin
112000 Louis Marchand
112000 Hans Leo Hassler
112000 Giuseppe Torelli
112000 Eden Ahbez
112000 Amadeo Vives
112000 Alec Wilder
111000 Tomás Bretón
111000 Raimond Lap
111000 Otto Nicolai
111000 John Stainer
111000 Johann Fischer
111000 Clément Janequin
111000 Armand-Louis Couperin
110000 Reinbert de Leeuw
110000 Ermanno Wolf-Ferrari
109000 Samuel Scheidt
109000 Robert Casadesus
109000 Petr Eben
109000 Ivor Gurney
109000 Heinrich Isaac
109000 Ferenc Szabó
109000 Brian Ferneyhough
109000 Andrew Schultz
108000 Victor Massé
108000 Stephen Heller
108000 Ron Grainer
108000 Knut Nystedt
108000 Erwin Schulhoff
108000 Eric Ewazen
108000 Dane Rudhyar
108000 Charles Burney
108000 Andrea Gabrieli
107000 William Billings
107000 Vincenzo Ruffo
107000 Tommy Banks
107000 Ruggiero Leoncavallo
107000 Pérotin
107000 Michael East
107000 Gustav Ernesaks
107000 Andrew Glover
106000 William Grant Still
106000 Roy Douglas
106000 Lukas Foss
106000 Jean Berger
106000 James Hannigan
106000 Jacob van Eyck
105000 Pauline Viardot
105000 Miguel del Águila
105000 Luigi Dallapiccola
105000 Jehan Alain
105000 Bright Sheng
105000 Alexander Godunov
105000 Agostino Steffani
104000 Thomas Arne
104000 Ludwig Minkus
104000 José Pablo Moncayo
104000 Francesco Bianchi
104000 Emilio Arrieta
104000 Conlon Nancarrow
104000 Bernd Alois Zimmermann
104000 André Mathieu
103000 Walter Piston
103000 Moritz Moszkowski
103000 Lauro Rossi
103000 Keiko Abe
103000 Johann Strauss I
103000 Hugo Becker
103000 Eduard Tubin
103000 Antón García Abril
102000 Oscar Straus
102000 Orlande de Lassus
102000 Oliver Knussen
102000 Johan Halvorsen
102000 Jean Langlais
102000 Jean Françaix
102000 James Nares
102000 Charles-Valentin Alkan
101000 Toshio Hosokawa
101000 Peter Breiner
101000 Mack Wilberg
101000 Johann Joseph Fux
101000 Friedrich Kuhlau
99500 Frederic Rzewski
99300 Dionisio Aguado
99200 Adrian Willaert
99100 Luigi Ricci
99100 Héctor Ayala
99000 Stanisław Moniuszko
98800 Rodion Shchedrin
98700 Johann Joachim Quantz
98700 Jean Mouton
98700 Gunnar Berg
98500 Cornelius Cardew
98200 Jacopo Peri
98200 Baldassare Galuppi
98100 Leopold Godowsky
97900 Alfred Hill
97800 Steven Bryant
97600 Johann Friedrich Fasch
97300 Roger Reynolds
97200 Oto Pestner
97200 Morton Subotnick
96900 André Jolivet
96200 Giuseppe Martucci
96100 Beat Furrer
95600 Thomas Norris
95400 Samuel Arnold
95300 Joseph Bodin de Boismortier
95100 John Taverner
95100 Herbert Stothart
95000 Paul Paray
94800 Fabio Campana
94800 Charles Knox
